track_id,track_name,artist_id,duration_seconds
1,Act sound any,36,331
2,Network sport,52,400
3,Later enter,100,275
4,Various kitchen not,6,187
5,Through,44,370
6,Parent write,20,283
7,Hotel,65,267
8,Hair compare,13,364
9,Matter early size,18,295
10,Little charge,26,231
11,I month,75,285
12,Trouble officer despite,10,305
13,Smile ok base,93,245
14,Until once something,96,366
15,More whole,32,214
16,Official wall spring,75,148
17,Fire,54,351
18,Subject,19,279
19,Need management whose low,67,342
20,Sing public discuss,47,412
21,Charge hair more,45,318
22,West pressure,48,412
23,Couple national,69,308
24,Deep list lawyer music,89,216
25,Whatever head,54,261
26,Concern write former,77,159
27,Physical charge,4,204
28,Production feeling time,58,419
29,Note break pressure,28,219
30,Source war career,53,271
31,Read green try,41,186
32,Right stand,1,411
33,Fight design,2,395
34,Knowledge throw center,77,154
35,Perform collection,64,379
36,Represent push,95,121
37,Peace wife more,67,161
38,Expert month pressure,72,185
39,Life toward,17,373
40,Day,75,180
41,Late me,46,215
42,Cultural explain animal,40,147
43,Since city which research,51,289
44,Order special region,80,323
45,Keep in,28,121
46,After goal mouth,49,143
47,East home team,77,229
48,Sometimes eat partner,2,268
49,Town pretty nature,32,315
50,Practice boy,43,284
51,Year likely,32,240
52,Administration bank,68,375
53,Try here bring,27,257
54,Strategy exist prepare town,8,265
55,Service good,64,416
56,Tree deal,83,314
57,Three claim,95,301
58,Left remember,45,176
59,Base leave carry,91,365
60,Billion wonder,26,386
61,Across sea,56,295
62,Anyone high,91,377
63,Home,21,286
64,Process strong laugh,33,403
65,True education night,70,267
66,Same,95,301
67,Record beautiful him,64,419
68,Crime painting,75,415
69,One because baby,86,189
70,Exactly attack,27,200
71,Series let price,85,380
72,Finally rate it,90,227
73,Treatment beyond fight,62,146
74,American police,30,219
75,Smile choose,22,265
76,Brother thing,1,295
77,Collection figure also,46,281
78,Type,41,170
79,Plan,35,145
80,Discuss degree skin,14,154
81,Such learn,17,146
82,Property accept,1,305
83,Wall which,96,330
84,Your dark,24,125
85,Suddenly Mr,100,335
86,Others nor seek,27,219
87,Though plant,9,326
88,Head week,47,378
89,Night,60,198
90,Whole answer blue,18,322
91,Apply ten,18,238
92,Truth ground,100,226
93,Official,17,125
94,Son hotel close,84,418
95,Whose plant but,100,258
96,Reach teach,21,393
97,East,3,382
98,Always popular,89,311
99,Bad three almost,43,351
100,Detail major,74,224
101,All look little,24,335
102,Now capital,95,152
103,Run goal,94,233
104,Wish idea left,85,371
105,Away arrive little,75,372
106,Daughter available,41,408
107,Opportunity specific,4,378
108,Baby,100,181
109,Safe wide rule,82,184
110,Share real lead,78,290
111,Adult however free,42,353
112,Whole art,44,216
113,Information fall yard,46,142
114,Notice order,70,300
115,Ahead want car sit,67,313
116,Economy since computer,71,222
117,Include,95,405
118,Couple rise all,38,391
119,Parent issue interest,3,155
120,Ten store,34,321
121,Rock official increase,10,255
122,Work believe address,62,257
123,History investment,98,207
124,Democratic share,13,235
125,Keep maintain market,2,148
126,Today popular,5,379
127,Team letter opportunity,7,162
128,Factor action,32,352
129,Film hold live,100,406
130,Level military operation,87,367
131,Air choice turn,98,339
132,Memory provide,21,151
133,Soon free player,21,151
134,Garden table out,67,360
135,Know form enough,100,328
136,Reality,73,153
137,Peace perhaps become,77,312
138,Scene make my,53,404
139,Film medical,57,149
140,Fire operation military,28,316
141,Law happen,71,123
142,How,61,161
143,Only five something,68,274
144,Body guy,17,390
145,Rock option,58,268
146,On computer,48,376
147,Face program floor,28,211
148,Republican financial,85,327
149,Type student,94,258
150,Article college,89,315
151,Writer music civil challenge,10,303
152,Reduce tell with,51,215
153,Certainly method,24,264
154,Treat sound age,52,278
155,Ten law through,30,388
156,Tax couple,49,365
157,Small name,12,183
158,Total represent,9,332
159,Size land,84,199
160,Us think compare here,4,303
161,Huge,32,380
162,Relate effect,47,270
163,Trouble five,81,160
164,Cell sense strong,78,308
165,Movie very,36,387
166,Management should,45,305
167,Senior create,19,242
168,Center hope and,25,404
169,Ready speak large,42,236
170,Win begin lawyer,65,418
171,Garden south research,48,371
172,Music create,54,291
173,Magazine late rather,80,169
174,Bank owner word over,69,227
175,Reach who sport,57,202
176,Boy what party,71,371
177,Lose food father,14,401
178,International event drug,98,411
179,Compare bag several,40,337
180,Reality natural else,75,364
181,Standard shoulder since personal,70,420
182,More hundred summer,13,268
183,Sell other mention,20,151
184,Total ago,57,328
185,Customer himself hot,39,215
186,Include claim party,85,264
187,Able sense bad,36,375
188,Idea marriage act,13,135
189,Artist boy,38,154
190,Budget drive lead,14,275
191,Expect western myself,50,333
192,Pm need above,81,326
193,Power claim,39,215
194,Federal language,71,231
195,Cut some second,3,335
196,Past serve,20,252
197,Positive step,2,377
198,That admit,61,399
199,Teach idea off,13,415
200,Upon three in,76,293
201,True type town,25,260
202,Part generation million,19,244
203,Against include option,55,251
204,Task knowledge father,17,342
205,Close I,79,204
206,Agent themselves positive,65,195
207,Mention other body,17,159
208,Smile just five,3,373
209,Military itself color,65,408
210,Quickly statement thing,70,130
211,Teacher successful,49,394
212,Beat middle information these,47,420
213,Dog sit,79,120
214,Focus dinner very,95,320
215,Personal phone,100,236
216,Feel mother,24,267
217,Able trouble away,31,223
218,Network another executive,47,301
219,Officer nature,5,348
220,Along maybe area,16,140
221,Light church risk,39,173
222,Popular sport,58,226
223,Real off laugh miss,6,234
224,Represent behavior way,96,390
225,Almost development worker state,81,414
226,Guess feeling,37,134
227,Wrong religious,66,355
228,Beautiful allow similar,76,266
229,Participant learn,85,367
230,Occur something,47,291
231,Measure,2,367
232,Various grow option recently,17,219
233,Mission southern,47,140
234,Political phone,48,176
235,Garden what fish,88,396
236,Politics stand,17,222
237,Amount each,86,359
238,Be community system,59,329
239,Lot here many,29,297
240,North subject,64,313
241,Say call music,69,234
242,Cup section suddenly,65,306
243,Door guy statement,78,188
244,Organization always animal,22,312
245,Likely my deep green,35,216
246,Than sign nice,65,233
247,Hundred and,92,318
248,Example house,30,160
249,Perhaps identify,17,418
250,Season,94,259
251,Without production water,91,128
252,Simply,7,353
253,Data decade,5,319
254,Push carry everyone something,56,285
255,Off deep,57,298
256,Baby better,1,270
257,Someone,77,371
258,Feeling this store,87,264
259,Friend rather oil,27,239
260,Science environmental,86,184
261,Dinner under,86,376
262,Television economic,95,165
263,Already his drive,13,129
264,Lay who,13,136
265,Second,87,164
266,Rule save present list,56,413
267,Mention adult,54,173
268,Her check,8,310
269,Staff,56,202
270,Skin public break,19,395
271,White bank,39,182
272,Wear reach surface,45,345
273,Recently case find,95,420
274,Ask level,30,419
275,Walk rise key back,7,145
276,Power road high build,58,221
277,Relationship lay material see,45,347
278,Under dog,3,301
279,Hair imagine lay,53,320
280,Fast social assume,32,397
281,Anyone machine investment,47,370
282,Yeah build street,65,242
283,Character short,60,327
284,Upon meeting herself,52,196
285,Near course,87,203
286,Trade maybe,19,323
287,List yes resource,42,130
288,Exist hit feeling,35,160
289,Others night,25,372
290,Service note later,24,133
291,Fear high third,99,307
292,Back American,65,287
293,Boy manager,29,411
294,Small mouth right,10,152
295,Major act,49,406
296,Important own affect,47,149
297,Many official sit,87,151
298,Production site protect,90,127
299,Lose kind,20,336
300,Personal company,52,384
301,Door sing,100,177
302,Pull others your training,12,247
303,Level dream change,31,240
304,Manage family,93,363
305,Study begin,95,404
306,Year gas,47,279
307,Prove thank example,93,394
308,Security forward,4,270
309,War affect stand,69,318
310,Reason,57,416
311,Evidence husband pretty,1,394
312,Adult prove,4,179
313,Become blood maybe,4,123
314,Window,18,289
315,More executive coach next,47,140
316,Street arrive ask,58,189
317,Popular be street,55,396
318,Thousand nothing decade,33,187
319,Continue,55,372
320,High move,45,400
321,Have senior form,35,256
322,Sister property,49,164
323,Fine already,1,157
324,Again reflect physical,90,278
325,Free seek,98,297
326,Reveal clear,55,391
327,War beat nation,32,193
328,His pull,53,195
329,Score board worker,77,163
330,Hand generation,36,316
331,Nature,49,405
332,Value floor agent,16,300
333,Beat themselves prepare,66,274
334,Especially push present,82,139
335,Hour walk,69,185
336,Fly society,15,241
337,Home quickly sing,67,356
338,Describe art require,2,374
339,Economic so,90,367
340,Ok a both,51,203
341,Week,58,401
342,Boy career,48,182
343,Resource huge,95,218
344,Century book walk,24,280
345,Drug,12,381
346,Cost,17,408
347,Guy foreign,8,135
348,Administration talk,66,417
349,None treatment,46,242
350,Drop teacher,27,362
351,Give any,31,157
352,Throw issue,93,164
353,Moment score class,94,292
354,New cell,38,330
355,Yeah it lawyer try,45,232
356,Parent crime surface,57,340
357,Crime,13,416
358,Red guy,31,381
359,Mention ahead suggest,56,245
360,Sing rather,64,383
361,Congress,85,189
362,Unit consumer soldier,99,396
363,Anything audience,37,256
364,Drop yet its,32,257
365,Cup simple product,53,350
366,Wait cultural,62,380
367,Use such,43,262
368,Marriage else tree dream,30,169
369,Life,17,203
370,Not of deep student,67,201
371,But color example,12,204
372,Still see,22,338
373,Interesting show everyone,79,262
374,World loss however,69,405
375,Concern,25,342
376,Democrat pay red,21,395
377,Degree president,57,391
378,Apply list,21,277
379,South live,85,216
380,Dinner one quickly,66,325
381,Apply Republican least measure,34,362
382,Join explain,89,320
383,Test mind,71,310
384,Hit among,14,348
385,Significant receive,19,148
386,Hope admit,8,215
387,Far quickly while,19,256
388,Personal painting,66,387
389,Week money,69,264
390,Wind,41,251
391,Company source,11,388
392,Item time sit end,57,286
393,According upon,82,381
394,Everyone research level,49,370
395,Behind,16,256
396,Go TV study note,75,251
397,Very,36,170
398,Same floor others without,33,260
399,Reason manage,20,331
400,Heavy everything,91,350
401,Because information,92,249
402,Time nor lose,69,208
403,Type indeed,33,330
404,Education forward,60,235
405,Listen go great,84,409
406,Opportunity win,20,360
407,Speak form,64,208
408,Camera experience,78,219
409,Market significant,40,170
410,Pick ground vote,55,201
411,Hit these mention,67,271
412,Bill report,95,207
413,Reveal glass there,91,173
414,Remain instead,54,412
415,Order right,88,286
416,Entire certain race,97,162
417,Official discuss a,98,400
418,Growth consider,43,281
419,Safe direction,23,208
420,Only they purpose,12,385
421,Significant technology whatever,80,244
422,Hard,62,344
423,Sound treat expect,15,216
424,Director be,66,175
425,News real stage,41,378
426,Conference style,49,307
427,As hit,76,153
428,Case peace,7,183
429,This movement or,7,178
430,Site model,60,165
431,Doctor onto everything,13,241
432,Glass several trade,24,187
433,West economic the,59,149
434,Real per but,46,164
435,Property rather whatever,97,320
436,Industry north energy themselves,39,120
437,Foot left economic public,94,395
438,Exist determine respond,47,171
439,Risk body establish,6,138
440,Alone Republican,42,151
441,Tree present,83,260
442,Officer son wide,39,227
443,Eye but,78,267
444,Individual military,74,210
445,Dark property yes,29,347
446,Record role seem,92,282
447,Consider effort capital,3,221
448,Time know whom,47,275
449,West scene,27,209
450,Least save suggest,74,295
451,Worry try,95,233
452,What interesting away,43,272
453,Right range,93,280
454,Nearly so night,60,420
455,Central local then,61,374
456,Day mother,12,286
457,Big paper,61,384
458,Marriage prove,16,284
459,Church interesting,87,153
460,Music store,10,130
461,Garden along send likely,50,349
462,Your play,93,358
463,Offer open,55,228
464,But impact store those,36,309
465,Condition color vote,87,309
466,Only child risk,87,223
467,Building store,65,332
468,Behavior marriage,2,420
469,Throughout message cause,45,282
470,Game window,51,356
471,Source claim once,46,408
472,Science but,56,172
473,While partner build,51,343
474,Form choice mouth,42,144
475,Recent,44,220
476,Firm direction,4,361
477,Give change certainly,7,364
478,Church trouble nature land,91,177
479,Trial you,87,331
480,Agency end,50,369
481,Quality assume leg,21,183
482,Morning special,1,371
483,Collection center,91,172
484,Practice low near,21,142
485,Serious fact be,29,332
486,Area foot expect,33,302
487,Skin point,28,356
488,Else son goal each,2,390
489,Even major,90,283
490,Quickly among allow station,16,335
491,Daughter between,38,349
492,Pattern less,49,418
493,After pay as care,78,246
494,Pretty while measure see,74,170
495,Like reality stock,63,122
496,Marriage fund sister,87,188
497,Early war,27,344
498,Law science,65,361
499,He sit rich kitchen,45,187
500,Continue sound increase,47,180
